,location,price,bedrooms,bathrooms,garage,area
279,Jardín Real,40000,5,4,2,170
280,Solares Residencial,21000,2,2,2,110
281,Jardines de la Patria,31000,2,2,2,175
282,Atlas Chapalita,19500,2,2,2,99
283,Jardín Real,21000,3,3,2,218
284,Victoria,22000,4,3,2,292
285,Lagos del Country,12900,4,2,2,200
286,Jardín de San Ignacio,15000,3,2,2,126
287,Paseos del Sol,6500,2,1,1,55
288,Juan Manuel Vallarta,21000,4,3,4,250
289,Mirador del Sol,6500,2,1,1,50
290,Colli Urbano,10900,3,2,1,103
291,Nuevo México,13500,3,2,2,102
292,Heroes Nacionales,14200,3,2,2,102
293,Granja,13800,3,3,2,121
294,Zapopan,25000,3,3,2,144
295,Solares Residencial,29000,3,4,2,159
296,Colinas de las Águilas,12500,3,2,1,62
297,Hacienda de las Lomas,26500,2,2,2,91
298,Jocotán Zapopan Jalisco,20000,2,2,2,91
299,San Juan de Ocotán,19500,2,2,2,189
300,Campo Real,7500,2,2,1,80
301,Jacarandas,46000,3,4,2,300
302,El Bajío,32000,3,4,2,300
303,Bugambilias,15500,3,4,2,240
304,Jardines Universidad,14200,2,2,2,97
305,Royal Country,40900,2,2,2,168
306,Zona Real,22500,3,2,2,153
307,Zona Real,22500,3,2,2,153
308,Nuevo México,19500,2,3,2,140
309,Colinas de Atemajac,16000,2,2,2,70
310,Cd de los Niños,65000,4,4,3,400
311,Hacienda de las Lomas,28000,3,3,2,154
312,Tepeyac Casino,12000,2,2,2,104
313,Pontevedra,80000,3,4,4,500
314,Paseos del Sol,6200,2,1,1,65
315,Heroes Nacionales,9800,3,2,2,95
316,Arcos de Guadalupe,21000,3,3,2,119
317,Auditorio,7500,3,1,2,133
318,Lomas del Valle,25500,4,4,2,117
319,San Miguel de la Colina,23000,2,2,2,145
320,Altamira,14500,2,2,1,133
321,Zona Real,21000,3,2,2,135
322,Lomas Altas,12000,2,1,2,108
323,Parques Tesistan,6800,2,1,1,80
324,Zapopan,11300,3,2,2,115
325,Altamira,14500,2,2,1,133
326,San Miguel de la Colina,28000,2,2,2,145
327,Jardín Real,25000,3,3,2,320
328,Jardín Real,25000,3,3,2,320
329,Valle Real,45000,3,4,3,360
330,Puerta del Valle,27000,2,2,2,117
331,Jal.,12000,4,3,2,90
332,Zapopan,30000,3,3,2,200
333,La Gloria,25000,3,4,2,308
334,Granja,16500,4,3,2,103
335,Puerta de Hierro,29000,2,2,2,120
336,Zapopan,14000,3,3,2,115
337,La Magdalena,7000,3,3,2,90
338,Zapopan,4300,2,1,1,42
339,Cd del Sol,34000,4,4,3,280
340,Jardín Real,20000,3,4,3,300
341,Pinar de la Venta,16900,4,4,3,1275
342,Mirador del Sol,14000,3,2,2,127
343,Zapopan,16000,2,2,0,84
344,Tesistán,12500,3,2,2,106
345,Las Águilas,11000,3,2,2,133
346,Granja,15000,1,1,2,88
347,Bosques del Centinela,10000,2,2,2,90
348,Moctezuma Pte.,9250,2,1,1,83
349,Jal.,15000,3,2,2,122
350,Royal Country,27000,2,2,2,72
351,Cd del Sol,28000,2,3,2,147
352,Nuevo México,19000,4,4,0,156
353,Puerta de Hierro,26000,2,2,1,98
354,Arboledas,13000,2,1,1,90
355,Patria,10900,3,1,1,83
356,Bosques del Centinela II,15000,3,3,2,100
357,Jal.,10500,3,2,2,90
358,Zapopan,24000,2,2,3,150
359,Santa Ana Tepetitlán,14500,3,2,2,119
360,Lomas del Valle,34200,2,2,2,115
361,Zapopan,11000,3,2,2,115
362,Universitaria,12000,1,1,1,70
363,Puerta de Hierro,57000,4,4,4,420
364,Los Pinos,9000,2,2,2,80
365,Zapopan,23000,2,2,2,125
366,Jardines del Valle,16500,3,2,2,128
367,Las Agujas,9000,3,4,2,90
368,Zapopan,8500,3,2,1,96
369,La Cima,21900,3,2,2,180
370,La Mojonera,40000,3,4,2,242
371,La Giralda,18800,3,3,2,175
372,Valle Real,28000,3,3,2,300
373,Zapopan,10000,2,2,2,155
374,Lomas Altas,29600,2,2,2,148
375,Chapultepec Country,35000,4,3,2,
376,Monraz,35000,2,2,2,
377,Obrera,21000,3,2,2,
378,Obrera,26000,3,2,1,
379,Vallarta Nte.,35000,2,2,2,
380,Arcos,21000,2,1,1,
381,Colomos Providencia,75000,3,4,1,
382,Americana,32000,2,2,1,
383,Prados Providencia,8000,1,1,1,
384,Arcos Vallarta,20000,3,2,1,
385,Prados Providencia,10500,2,1,1,
386,Prados Providencia,10500,2,1,1,
387,Prados Providencia,8000,1,1,1,
388,Prados Providencia,7950,1,1,1,
389,Prados Providencia,8000,1,1,1,
390,Prados Providencia,8000,1,1,1,
391,Prados Providencia,7950,1,1,1,
392,Prados Providencia,10500,2,1,1,
393,Prados Providencia,7950,1,1,2,
394,Paisajes del Tesoro,11300,2,1,1,
395,Prados Providencia,8000,1,1,4,
396,Prados Providencia,7950,1,3,2,
397,Country Club,29000,3,1,1,
398,Col Americana,17000,4,3,3,
399,Vallarta Nte.,61000,6,3,1,
400,Ladron De Guevara,19500,4,2,1,
401,Balcones de Santa María,11600,2,2,1,
402,Arcos,25000,2,1,1,
403,Jardines de San José,7300,2,2,4,
404,Obrera,18400,2,4,1,
405,Obrera,100000,6,2,1,
406,Arcos Vallarta,85000,6,3,2,
407,Arcos,19000,3,2,1,
408,Americana,65000,3,1,4,
409,Lafayette,19500,2,3,1,
410,Juan Manuel,16500,1,1,2,
411,Juan Manuel,28000,2,3,2,
412,Providencia 4a. Secc,25000,6,4,2,
413,Jardines del Bosque,25000,3,1,2,
414,Arcos,60000,5,1,2,
415,Ayuntamiento,7500,2,1,1,
416,Alamo Industrial,12500,1,1,2,
417,Arcos,2690000,1,2,2,
418,Arcos,12000,1,1,2,
419,Cerro del Tesoro,13000,3,3,1,
420,Chapalita,11500,4,1,2,
421,Monraz,73000,3,2,4,
422,Santa Teresita,13000,3,1,1,
423,Colomos Providencia,22500,2,2,1,
424,Zona Centro,15500,1,2,1,
425,Obrera,33000,2,3,1,
426,Lomas de Providencia,35000,2,2,2,
427,Vallarta Nte.,33000,3,1,1,
428,Vallarta Nte.,28000,2,3,2,
429,Americana,11500,2,3,2,
430,Prados Providencia,30300,2,2,4,
431,Vallarta Nte.,24500,3,2,3,
432,Arcos Vallarta,26000,4,2,1,
433,Americana,23000,2,3,2,
434,Colomos Providencia,25000,3,2,2,
435,Terranova,23000,3,1,2,
436,Jardines del Bosque,24000,2,2,3,
437,Jardines del Bosque,25000,2,2,2,
438,Balcones de Santa María,10000,2,4,1,
439,Balcones de Santa María,10000,2,1,2,
440,Santa Elena Alcalde,18000,4,2,2,
441,Lafayette,18000,2,4,2,
442,Vallarta Nte.,35000,2,4,1,
443,Country Club,28500,3,2,1,
444,Prados Providencia,27500,3,2,2,
445,Country Club,22500,2,2,2,
446,La Aurora,10000,2,1,2,
447,Jardines Plaza del Sol,17500,3,2,1,
448,Jardines del Bosque,13000,2,2,1,
449,Lomas de Guevara,23500,2,2,2,
450,Arcos Vallarta,19500,2,1,1,
451,Colomos Providencia,23900,2,2,2,
452,Colomos Providencia,19500,1,2,2,
453,Parques del Bosque,11500,3,4,1,
454,Obrera,18000,3,2,1,
455,Vallarta Nte.,35000,3,3,2,
456,Mexicaltzingo,44000,4,1,1,
457,Chapultepec Country,35000,4,2,1,
458,Balcones de Santa María,12214,2,4,1,
459,Colomos Providencia,27700,2,3,4,
460,Prados Providencia,39000,3,3,2,
461,Obrera,33000,3,2,1,
462,Colomos Providencia,30000,3,2,1,
463,Obrera,18500,2,2,3,
464,Jardines del Bosque,20000,2,2,2,
465,Vallarta Nte.,25000,2,2,1,
466,Monraz,25000,2,1,2,
467,Ladron De Guevara,21000,2,3,1,
468,Lagos del Country,7000,1,3,1,
469,Monraz,38000,3,3,1,
470,Monraz,37000,3,2,1,
471,Huentitán El Bajo,28000,3,2,1,
472,Lomas de Independencia,13500,2,2,4,
473,Circunvalación Vallarta,19000,2,2,2,
474,Independencia Oriente,6300,2,2,2,
475,Colinas de San Javier,23000,2,3,1,
476,Vallarta Nte.,28000,2,3,1,
477,Obrera,35000,2,3,1,
478,Lafayette,30000,2,2,2,
479,Ladron De Guevara,25000,3,1,4,
480,Lafayette,11000,2,2,2,
481,Ayuntamiento,15250,1,3,1,
482,Monraz,32000,2,3,1,
483,Terralta,7500,2,2,4,
484,Obrera,38000,3,1,2,
485,Las Terrazas,9500,2,2,1,
486,La Aurora,8000,2,2,2,
487,Obrera,29000,3,2,3,
488,Arcos,17500,2,1,3,
489,Rinconada del Bosque,10000,2,2,3,
490,Lomas de Independencia,9900,2,4,1,
491,Ladron De Guevara,15000,2,2,2,
492,Monraz,130000,4,1,1,
493,Americana,18000,6,1,1,
494,La Tijera,15000,3,2,1,
495,Jardines del Country,14900,2,4,2,
496,Jardines Alcalde,17000,3,2,4,
497,San Juan de Dios,16074,2,1,1,
498,Palomar,36000,5,2,1,
499,Jardines del Bosque,23500,2,1,2,
500,Del Periodista,12500,1,2,3,
501,Colón Industrial,13500,3,2,2,
502,Panorámica de Huentitán,5000,2,1,3,
503,Balcones de Santa María,11500,2,2,4,
504,Jardines de Los Arcos,27400,4,2,3,
505,Country Club,26000,1,1,2,
506,Country Club,28500,2,2,2,
507,Country Club,36000,3,4,4,
508,Country Club,22000,6,2,2,
509,Jardines del Bosque,65000,6,1,2,
510,Colomos Providencia,32000,4,1,4,
511,Colomos Providencia,14000,2,1,2,
512,Lafayette,15000,1,2,2,
513,Jardines del Sur,8500,2,2,2,
514,Moderna,16000,2,3,3,
515,Lomas de Providencia,26000,2,2,2,
516,Miravalle,13000,4,2,2,
517,Barrera,35000,3,1,2,
518,Providencia,17900,2,1,2,
519,Jardines Plaza del Sol,32000,4,1,2,
520,Colinas de La Normal,12000,2,4,2,
521,Zona Centro,16000,1,3,1,
522,Zona Centro,16000,2,1,2,
523,Zona Centro,100000,6,2,2,
524,Prados Providencia,22000,3,4,2,
525,Arcos Vallarta,18000,1,4,2,
526,Cerro del Tesoro,136172,0,2,2,
527,Vallarta Nte.,44000,2,2,2,
528,Guadalajara,45000,5,1,2,
529,Jardines Alcalde,22000,6,2,2,
530,Guadalajara,39500,5,1,2,
531,Colinas de San Javier,26000,0,2,2,
532,Bosques de La Victoria,14000,2,1,2,
533,Prados Providencia,27820,1,3,2,
534,Lomas de Providencia,22900,3,4,2,
535,Country Club,18000,1,3,1,
536,Jardines del Bosque,18000,2,1,4,
537,Guadalajara,8000,2,4,2,
538,Jardines de Santa Isabel,14000,4,4,1,
539,Jardines del Bosque,80000,1,3,1,
540,Jardines del Country,15900,3,2,1,
541,Lomas de Providencia,28000,0,4,2,
542,Colomos Providencia,26000,2,4,2,
543,Colinas de San Javier,60000,6,2,2,
544,Country Club,65000,3,4,2,
545,Rinconada del Bosque,25000,4,4,1,
546,Ayuntamiento,12875,0,3,2,
547,Country Club,71750,0,2,1,
548,Jardines del Bosque,17500,3,4,1,
549,Country Club,36500,3,2,2,
550,Bosques de La Victoria,50000,5,3,2,
551,Prados Providencia,28500,2,2,4,
552,Obrera,32500,2,2,3,
553,Vallarta Nte.,98000,5,3,2,
554,Obrera,26000,2,4,1,
555,Colomos Providencia,28000,3,2,2,
556,Vallarta Nte.,29000,2,2,2,
557,Postes Cuates,20000,4,2,2,
558,Parques del Bosque,9500,4,2,2,
559,Palomar,23000,3,2,2,
560,Vallarta Sur,65000,6,2,3,
561,Circunvalación Vallarta,19000,2,4,2,
562,Ladron De Guevara,25000,3,3,2,
563,Ladron De Guevara,25000,3,2,4,
564,Colomos Providencia,21700,2,2,3,
565,Arcos,18000,2,2,3,
566,Colomos Providencia,45000,3,3,1,
567,Colomos Providencia,38000,3,3,1,
568,Jardines del Bosque,25000,2,2,1,
569,Obrera,35000,2,3,2,
570,Terranova,19000,2,2,1,
571,Obrera,10376325,3,2,1,
572,Lomas de Guevara,45000,3,2,3,
573,Lomas de Guevara,35000,3,2,1,
574,Obrera,38000,3,2,3,
575,Obrera,35000,2,3,2,
576,Vallarta Nte.,44000,2,1,2,
577,Vallarta Nte.,30500,3,1,2,
578,Guadalajara,15000,3,1,2,
579,Prados Providencia,26500,2,1,3,
580,Country Club,60000,3,1,3,
581,Country Club,34800,2,1,3,
582,Country Club,20000,1,2,2,
583,Country Club,27000,1,1,2,
584,Country Club,24500,1,1,1,
585,Country Club,29700,2,2,2,
586,Country Club,32000,2,1,2,
587,Country Club,40000,3,1,2,
588,Country Club,35600,2,2,2,
589,Country Club,23800,1,3,2,
590,Country Club,45400,3,4,2,
591,Country Club,27100,1,3,3,
592,Country Club,25500,1,1,1,
593,Country Club,35250,2,4,1,
594,Country Club,26200,3,2,1,
595,Colinas de San Javier,70000,3,3,1,
596,Vallarta Poniente,32000,3,2,1,
597,Hernández Romo,4500,2,2,1,
598,Colinas de La Normal,26000,6,2,1,
599,Vallarta Poniente,30000,2,4,1,
600,Colomos Providencia,24000,2,2,2,
601,Centro,14000,2,2,2,
602,Ayuntamiento,15500,2,4,2,
603,Monraz,28000,3,2,2,
604,Jardines del Bosque,60000,6,4,2,
605,Colomos Providencia,28000,3,2,3,
606,Lomas de Providencia,30000,3,4,2,
607,Prados Providencia,28500,3,2,2,
608,Vallarta Nte.,35000,2,2,1,
609,Monraz,32000,4,1,4,
610,Vallarta Nte.,28000,2,3,1,
611,Barrera,25000,4,2,1,
612,Lomas del Country,17000,3,1,1,
613,San Juan de Dios,9500,2,3,2,
614,La Aurora,8500,2,1,1,
615,San Juan de Dios,12000,2,1,1,
616,Arcos,18000,2,4,2,
617,Arcos Vallarta,18000,1,2,2,
618,Providencia 2a. Secc,36800,4,2,2,
619,Lomas de Providencia,16000,2,2,4,
620,Vallarta Nte.,9500,1,2,1,
621,Guadalajara,30000,5,3,1,
622,Country Club,17000,3,3,2,
623,Providencia,24000,2,2,4,
624,Ayuntamiento,16000,2,3,4,
625,Las Terrazas,8500,3,2,2,
626,Guadalajara,35000,3,2,1,
627,Guadalajara,32000,3,3,1,
628,Guadalajara,32000,3,3,1,
629,Arcos Vallarta,21500,3,2,2,
630,Monraz,29500,2,4,2,
631,Lomas del Country,19000,2,2,2,
632,San José del Tajo,23000,3,2,1,
633,Lomas de Guevara,21000,3,4,2,
634,Vallarta Nte.,25000,2,1,1,
635,Country Club,30000,3,1,1,
636,Monraz,28000,2,1,2,
637,Monraz,28000,2,1,3,
638,Vallarta Nte.,70000,3,1,2,
639,Vallarta Nte.,12000,1,2,2,
640,Arcos Vallarta,21000,1,2,2,
641,Nueva España,5500,2,3,2,
642,La Penal,11550,2,2,0,
643,Balcones de Santa María,14000,2,1,2,
644,La Aurora,9000,2,1,4,
645,El Retiro,7000,3,1,0,
646,Monraz,28000,3,2,2,
647,Country Club,45000,2,4,2,
648,Jardines de Miraflores,5000,2,2,0,
649,Prados Providencia,11500,2,2,2,
650,Prados Providencia,16500,1,3,2,
651,Colomos Providencia,28000,3,2,4,
652,Prados Providencia,55000,3,1,2,
653,Circunvalación Vallarta,24000,2,3,1,
654,Circunvalación Vallarta,25000,2,4,2,
655,Colomos Providencia,40000,3,1,1,
656,Colomos Providencia,23480,1,4,1,
657,Jardines Plaza del Sol,11000,2,2,1,
658,Jardines del Country,20000,5,2,0,
659,Chapultepec Country,40000,6,1,1,
660,Colomos Providencia,17000,6,2,1,
661,Vallarta,50000,5,2,2,
662,Ladron De Guevara,22000,2,2,2,
663,Guadalajara,19000,2,2,1,
664,Vallarta Nte.,12500,2,4,2,
665,Moderna,15700,2,4,2,
666,Colomos Providencia,10500,3,4,1,
667,Lomas de Independencia,10500,2,2,1,
668,Guadalajara,28000,2,1,1,
669,Colinas de San Javier,50000,6,1,1,
670,Centro Barranquitas,20700,3,2,1,
671,Vallarta Nte.,90000,5,2,2,
672,Guadalajara,24000,2,4,2,
673,San Juan de Dios,15000,2,2,2,
674,Lafayette,20000,1,2,2,
675,Monraz,27000,3,1,2,
676,Colomos Providencia,22850,2,2,1,
677,Santa Teresita,39000,6,2,1,
678,Colinas de San Javier,23000,2,3,2,
679,San Juan de Dios,13500,2,2,3,
680,Vallarta Nte.,9500,1,2,2,
681,Alamo Industrial,10600,3,3,3,
682,Jardines de Los Arcos,45000,4,3,2,
683,Obrera,30000,2,3,2,
