,location,price,bedrooms,bathrooms,garage,area
122,Zapopan,"
                    $130,000
                    
                ",5,4+,4+,380 m²
123,Arcos de Guadalupe,"
                    $16,600
                    
                ",2,2,1,162 m²
124,Real Vallarta,"
                    $28,000
                    
                ",3,2,2,150 m²
125,Jardines Universidad,"
                    $29,500
                    
                ",4,3,3,310 m²
126,Valle Real,"
                    $62,000
                    
                ",4,4+,4+,560 m²
127,Zapopan,"
                    $26,250
                    
                ",2,2,2,100 m²
128,Zapopan,"
                    $28,000
                    
                ",2,2,2,234 m²
129,Nuevo México,"
                    $45,000
                    
                ",4,4+,4+,440 m²
130,La Cima,"
                    $20,000
                    
                ",3,3,2,140 m²
131,Lomas de La Primavera,"
                    $18,000
                    
                ",1,1,1,83 m²
132,Seattle,"
                    $19,000
                    
                ",1,2,3,298 m²
133,Puerta de Hierro,"
                    $35,000
                    
                ",3,2,2,129 m²
134,Paseos del Sol,"
                    $11,900
                    
                ",3,2,2,155 m²
135,Seattle,"
                    $25,000
                    
                ",2,2,2,391 m²
136,Solares Residencial,"
                    $27,500
                    
                ",3,3,2,148 m²
137,Jardines del Valle,"
                    $17,500
                    
                ",3,2,2,90 m²
138,Jardines del Valle,"
                    $8,000
                    
                ",3,2,1,69 m²
139,Paraísos del Colli,"
                    $9,000
                    
                ",1,1,1,161 m²
140,Arenales Tapatíos,"
                    $11,000
                    
                ",3,3,2,100 m²
141,El Fortín,"
                    $14,000
                    
                ",3,3,2,105 m²
142,Jal.,"
                    $18,000
                    
                ",3,3,2,130 m²
143,Zapopan,"
                    $28,000
                    
                ",2,2,2,130 m²
144,Puerta Plata,"
                    $78,600
                    
                ",4,4+,4+,530 m²
145,Granja,"
                    $16,500
                    
                ",4,3,2,103 m²
146,Parques Tesistan,"
                    $6,800
                    
                ",2,1,1,80 m²
147,La Estancia,"
                    $8,150,000
                    
                ",3,3,2,164 m²
148,Nuevo México,"
                    $19,900
                    
                ",3,4+,2,168 m²
149,El Campanario,"
                    $13,500
                    
                ",3,2,2,95 m²
150,Jardín Real,"
                    $29,000
                    
                ",3,3,3,180 m²
151,Zapopan,"
                    $30,000
                    
                ",3,4+,3,142 m²
152,Estrada,"
                    $7,500
                    
                ",2,2,1,67 m²
153,Residencial Cordilleras,"
                    $43,000
                    
                ",4,4+,4+,300 m²
154,Valle Real,"
                    $20,000
                    
                ",2,2,2,135 m²
155,Heroes Nacionales,"
                    $14,700
                    
                ",3,2,2,90 m²
156,La Periquera,"
                    $11,300
                    
                ",2,1,1,76 m²
157,Jardín Real,"
                    $24,000
                    
                ",3,3,3,201 m²
158,Jal.,"
                    $14,000
                    
                ",3,2,2,99 m²
159,Lomas Altas,"
                    $22,000
                    
                ",3,4+,2,160 m²
160,Jardines del Sol,"
                    $40,000
                    
                ",4,4+,4+,420 m²
161,Jardines de Guadalupe,"
                    $30,000
                    
                ",5,4+,4+,300 m²
162,Camichines Vallarta,"
                    $55,000
                    
                ",3,4+,2,229 m²
163,Valle Real,"
                    $55,000
                    
                ",3,3,2,454 m²
164,Lomas de Zapopan,"
                    $11,500
                    
                ",2,2,2,82 m²
165,Jardines del Sol,"
                    $70,000
                    
                ",4,4+,4+,420 m²
166,Granja,"
                    $6,900
                    
                ",2,1,1,60 m²
167,Nuevo México,"
                    $17,500
                    
                ",3,3,2,180 m²
168,Los Robles,"
                    $25,000
                    
                ",3,4+,4+,193 m²
169,Camino Real,"
                    $7,900
                    
                ",2,1,1,69 m²
170,Valle Real,"
                    $59,500
                    
                ",3,3,4+,300 m²
171,Campo Real,"
                    $8,200
                    
                ",2,1,1,66 m²
172,Zapopan,"
                    $23,000
                    
                ",2,2,2,120 m²
173,Puerta de Hierro,"
                    $29,800
                    
                ",2,2,2,110 m²
174,Campo Real,"
                    $8,200
                    
                ",2,1,1,67 m²
175,Campo Real,"
                    $7,500
                    
                ",3,3,2,96 m²
176,Jocotán Zapopan Jalisco,"
                    $21,000
                    
                ",4,3,2,120 m²
177,Parque de la Castellana,"
                    $22,500
                    
                ",3,2,2,145 m²
178,Puerta de Hierro,"
                    $65,000
                    
                ",3,4+,4+,450 m²
179,Arboledas,"
                    $40,000
                    
                ",6+,4+,4+,282 m²
180,Zapopan,"
                        $15,500
                        
                    ",3,2,2,111 m²
181,Solares Residencial,"
                    $24,000
                    
                ",4,4+,3,190 m²
182,Valle Real,"
                    $59,500
                    
                ",3,3,4+,300 m²
183,Cd Bugambilias,"
                    $33,000
                    
                ",4,4+,4+,465 m²
184,Jardines de Guadalupe,"
                    $135,000
                    
                ",3,2,1,90 m²
185,Zapopan,"
                    $26,000
                    
                ",4,4+,2,159 m²
186,Zapopan,"
                    $150,000
                    
                ",4,4+,4+,385 m²
187,Loma Real,"
                    $32,000
                    
                ",3,3,2,181 m²
188,Villa Palmas,"
                    $80,000
                    
                ",3,3,4+,500 m²
189,Las Cañadas,"
                    $39,500
                    
                ",4,4+,3,860 m²
190,Altavista Residencial,"
                    $13,900
                    
                ",3,2,2,90 m²
191,Las Cañadas,"
                    $58,000
                    
                ",3,2,4+,1900 m²
192,Las Cañadas,"
                    $35,000
                    
                ",3,4+,3,456 m²
193,Zapopan,"
                    $29,000
                    
                ",2,2,2,127 m²
194,La Calma,"
                    $30,000
                    
                ",6+,3,4+,253 m²
195,Puerta del Bosque,"
                    $7,500
                    
                ",2,1,1,70 m²
196,Zapopan,"
                    $150,000
                    
                ",5,4+,4+,384 m²
197,Paseos del Sol,"
                    $25,000
                    
                ",4,3,3,225 m²
198,Puerta Plata,"
                    $38,000
                    
                ",2,2,2,148 m²
199,Granja,"
                    $15,000
                    
                ",2,2,2,113 m²
200,Jardines de los Pinos,"
                    $14,000
                    
                ",4,3,2,150 m²
201,Santa Ana Tepetitlán,"
                    $10,000
                    
                ",2,2,1,55 m²
